,xc,yc,radius,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80
10,13,11,22,14,33,12,33,14,-11,12,-11,35,12,-9,12,35,10,35,10,15,33,11,33,15,-11,11,-11,35,13,-9,13,35,9,35,9,16,33,10,33,16,-11,10,-11,35,14,-9,14,35,8,35,8,17,32,9,32,17,-10,9,-10,34,15,-8,15,34,7,34,7,18,32,8,32,18,-10,8,-10,34,16,-8,16,34,6,34,6,19,32,7,32,19,-10,7,-10,34,17,-8,17,34,5,34,5,20,32,6,32,20,-10,6,-10,34,18,-8,18,34,4,34,4,21,31,5,31,21,-9,5,-9,33,19,-7,19,33,3,33,3,22,31,4,31,22,-9,4,-9,33,20,-7,20,33,2,33,2,23,30,3,30,23,-8,3,-8,32,21,-6,21,32,1,32,1
11,10,6,20,11,26,9,26,11,-14,9,-14,30,7,-10,7,30,5,30,5,12,26,8,26,12,-14,8,-14,30,8,-10,8,30,4,30,4,13,26,7,26,13,-14,7,-14,30,9,-10,9,30,3,30,3,14,25,6,25,14,-13,6,-13,29,10,-9,10,29,2,29,2,15,25,5,25,15,-13,5,-13,29,11,-9,11,29,1,29,1,16,25,4,25,16,-13,4,-13,29,12,-9,12,29,0,29,0,17,24,3,24,17,-12,3,-12,28,13,-8,13,28,-1,28,-1,18,24,2,24,18,-12,2,-12,28,14,-8,14,28,-2,28,-2,19,23,1,23,19,-11,1,-11,27,15,-7,15,27,-3,27,-3,20,23,0,23,20,-11,0,-11,27,16,-7,16,27,-4,27,-4
12,8,6,33,9,39,7,39,9,-27,7,-27,41,7,-25,7,41,5,41,5,10,39,6,39,10,-27,6,-27,41,8,-25,8,41,4,41,4,11,39,5,39,11,-27,5,-27,41,9,-25,9,41,3,41,3,12,39,4,39,12,-27,4,-27,41,10,-25,10,41,2,41,2,13,38,3,38,13,-26,3,-26,40,11,-24,11,40,1,40,1,14,38,2,38,14,-26,2,-26,40,12,-24,12,40,0,40,0,15,38,1,38,15,-26,1,-26,40,13,-24,13,40,-1,40,-1,16,38,0,38,16,-26,0,-26,40,14,-24,14,40,-2,40,-2,17,37,-1,37,17,-25,-1,-25,39,15,-23,15,39,-3,39,-3,18,37,-2,37,18,-25,-2,-25,39,16,-23,16,39,-4,39,-4
13,10,10,42,11,52,9,52,11,-32,9,-32,52,11,-32,11,52,9,52,9,12,52,8,52,12,-32,8,-32,52,12,-32,12,52,8,52,8,13,52,7,52,13,-32,7,-32,52,13,-32,13,52,7,52,7,14,52,6,52,14,-32,6,-32,52,14,-32,14,52,6,52,6,15,52,5,52,15,-32,5,-32,52,15,-32,15,52,5,52,5,16,51,4,51,16,-31,4,-31,51,16,-31,16,51,4,51,4,17,51,3,51,17,-31,3,-31,51,17,-31,17,51,3,51,3,18,51,2,51,18,-31,2,-31,51,18,-31,18,51,2,51,2,19,51,1,51,19,-31,1,-31,51,19,-31,19,51,1,51,1,20,51,0,51,20,-31,0,-31,51,20,-31,20,51,0,51,0
14,8,12,20,9,32,7,32,9,-8,7,-8,28,13,-12,13,28,11,28,11,10,32,6,32,10,-8,6,-8,28,14,-12,14,28,10,28,10,11,32,5,32,11,-8,5,-8,28,15,-12,15,28,9,28,9,12,31,4,31,12,-7,4,-7,27,16,-11,16,27,8,27,8,13,31,3,31,13,-7,3,-7,27,17,-11,17,27,7,27,7,14,31,2,31,14,-7,2,-7,27,18,-11,18,27,6,27,6,15,30,1,30,15,-6,1,-6,26,19,-10,19,26,5,26,5,16,30,0,30,16,-6,0,-6,26,20,-10,20,26,4,26,4,17,29,-1,29,17,-5,-1,-5,25,21,-9,21,25,3,25,3,18,29,-2,29,18,-5,-2,-5,25,22,-9,22,25,2,25,2
15,1,8,44,2,52,0,52,2,-36,0,-36,45,9,-43,9,45,7,45,7,3,52,-1,52,3,-36,-1,-36,45,10,-43,10,45,6,45,6,4,52,-2,52,4,-36,-2,-36,45,11,-43,11,45,5,45,5,5,52,-3,52,5,-36,-3,-36,45,12,-43,12,45,4,45,4,6,52,-4,52,6,-36,-4,-36,45,13,-43,13,45,3,45,3,7,51,-5,51,7,-35,-5,-35,44,14,-42,14,44,2,44,2,8,51,-6,51,8,-35,-6,-35,44,15,-42,15,44,1,44,1,9,51,-7,51,9,-35,-7,-35,44,16,-42,16,44,0,44,0,10,51,-8,51,10,-35,-8,-35,44,17,-42,17,44,-1,44,-1,11,51,-9,51,11,-35,-9,-35,44,18,-42,18,44,-2,44,-2
16,6,14,32,7,46,5,46,7,-18,5,-18,38,15,-26,15,38,13,38,13,8,46,4,46,8,-18,4,-18,38,16,-26,16,38,12,38,12,9,46,3,46,9,-18,3,-18,38,17,-26,17,38,11,38,11,10,46,2,46,10,-18,2,-18,38,18,-26,18,38,10,38,10,11,45,1,45,11,-17,1,-17,37,19,-25,19,37,9,37,9,12,45,0,45,12,-17,0,-17,37,20,-25,20,37,8,37,8,13,45,-1,45,13,-17,-1,-17,37,21,-25,21,37,7,37,7,14,45,-2,45,14,-17,-2,-17,37,22,-25,22,37,6,37,6,15,44,-3,44,15,-16,-3,-16,36,23,-24,23,36,5,36,5,16,44,-4,44,16,-16,-4,-16,36,24,-24,24,36,4,36,4
17,7,15,31,8,46,6,46,8,-16,6,-16,38,16,-24,16,38,14,38,14,9,46,5,46,9,-16,5,-16,38,17,-24,17,38,13,38,13,10,46,4,46,10,-16,4,-16,38,18,-24,18,38,12,38,12,11,46,3,46,11,-16,3,-16,38,19,-24,19,38,11,38,11,12,45,2,45,12,-15,2,-15,37,20,-23,20,37,10,37,10,13,45,1,45,13,-15,1,-15,37,21,-23,21,37,9,37,9,14,45,0,45,14,-15,0,-15,37,22,-23,22,37,8,37,8,15,45,-1,45,15,-15,-1,-15,37,23,-23,23,37,7,37,7,16,44,-2,44,16,-14,-2,-14,36,24,-22,24,36,6,36,6,17,44,-3,44,17,-14,-3,-14,36,25,-22,25,36,5,36,5
18,11,14,37,12,51,10,51,12,-23,10,-23,48,15,-26,15,48,13,48,13,13,51,9,51,13,-23,9,-23,48,16,-26,16,48,12,48,12,14,51,8,51,14,-23,8,-23,48,17,-26,17,48,11,48,11,15,51,7,51,15,-23,7,-23,48,18,-26,18,48,10,48,10,16,51,6,51,16,-23,6,-23,48,19,-26,19,48,9,48,9,17,50,5,50,17,-22,5,-22,47,20,-25,20,47,8,47,8,18,50,4,50,18,-22,4,-22,47,21,-25,21,47,7,47,7,19,50,3,50,19,-22,3,-22,47,22,-25,22,47,6,47,6,20,50,2,50,20,-22,2,-22,47,23,-25,23,47,5,47,5,21,49,1,49,21,-21,1,-21,46,24,-24,24,46,4,46,4
19,14,3,25,15,28,13,28,15,-22,13,-22,39,4,-11,4,39,2,39,2,16,28,12,28,16,-22,12,-22,39,5,-11,5,39,1,39,1,17,28,11,28,17,-22,11,-22,39,6,-11,6,39,0,39,0,18,28,10,28,18,-22,10,-22,39,7,-11,7,39,-1,39,-1,19,27,9,27,19,-21,9,-21,38,8,-10,8,38,-2,38,-2,20,27,8,27,20,-21,8,-21,38,9,-10,9,38,-3,38,-3,21,27,7,27,21,-21,7,-21,38,10,-10,10,38,-4,38,-4,22,26,6,26,22,-20,6,-20,37,11,-9,11,37,-5,37,-5,23,26,5,26,23,-20,5,-20,37,12,-9,12,37,-6,37,-6,24,25,4,25,24,-19,4,-19,36,13,-8,13,36,-7,36,-7
20,3,11,43,4,54,2,54,4,-32,2,-32,46,12,-40,12,46,10,46,10,5,54,1,54,5,-32,1,-32,46,13,-40,13,46,9,46,9,6,54,0,54,6,-32,0,-32,46,14,-40,14,46,8,46,8,7,54,-1,54,7,-32,-1,-32,46,15,-40,15,46,7,46,7,8,54,-2,54,8,-32,-2,-32,46,16,-40,16,46,6,46,6,9,53,-3,53,9,-31,-3,-31,45,17,-39,17,45,5,45,5,10,53,-4,53,10,-31,-4,-31,45,18,-39,18,45,4,45,4,11,53,-5,53,11,-31,-5,-31,45,19,-39,19,45,3,45,3,12,53,-6,53,12,-31,-6,-31,45,20,-39,20,45,2,45,2,13,53,-7,53,13,-31,-7,-31,45,21,-39,21,45,1,45,1
21,15,1,33,16,34,14,34,16,-32,14,-32,48,2,-18,2,48,0,48,0,17,34,13,34,17,-32,13,-32,48,3,-18,3,48,-1,48,-1,18,34,12,34,18,-32,12,-32,48,4,-18,4,48,-2,48,-2,19,34,11,34,19,-32,11,-32,48,5,-18,5,48,-3,48,-3,20,33,10,33,20,-31,10,-31,47,6,-17,6,47,-4,47,-4,21,33,9,33,21,-31,9,-31,47,7,-17,7,47,-5,47,-5,22,33,8,33,22,-31,8,-31,47,8,-17,8,47,-6,47,-6,23,33,7,33,23,-31,7,-31,47,9,-17,9,47,-7,47,-7,24,32,6,32,24,-30,6,-30,46,10,-16,10,46,-8,46,-8,25,32,5,32,25,-30,5,-30,46,11,-16,11,46,-9,46,-9
22,1,11,35,2,46,0,46,2,-24,0,-24,36,12,-34,12,36,10,36,10,3,46,-1,46,3,-24,-1,-24,36,13,-34,13,36,9,36,9,4,46,-2,46,4,-24,-2,-24,36,14,-34,14,36,8,36,8,5,46,-3,46,5,-24,-3,-24,36,15,-34,15,36,7,36,7,6,46,-4,46,6,-24,-4,-24,36,16,-34,16,36,6,36,6,7,45,-5,45,7,-23,-5,-23,35,17,-33,17,35,5,35,5,8,45,-6,45,8,-23,-6,-23,35,18,-33,18,35,4,35,4,9,45,-7,45,9,-23,-7,-23,35,19,-33,19,35,3,35,3,10,45,-8,45,10,-23,-8,-23,35,20,-33,20,35,2,35,2,11,44,-9,44,11,-22,-9,-22,34,21,-32,21,34,1,34,1
23,2,9,34,3,43,1,43,3,-25,1,-25,36,10,-32,10,36,8,36,8,4,43,0,43,4,-25,0,-25,36,11,-32,11,36,7,36,7,5,43,-1,43,5,-25,-1,-25,36,12,-32,12,36,6,36,6,6,43,-2,43,6,-25,-2,-25,36,13,-32,13,36,5,36,5,7,43,-3,43,7,-25,-3,-25,36,14,-32,14,36,4,36,4,8,42,-4,42,8,-24,-4,-24,35,15,-31,15,35,3,35,3,9,42,-5,42,9,-24,-5,-24,35,16,-31,16,35,2,35,2,10,42,-6,42,10,-24,-6,-24,35,17,-31,17,35,1,35,1,11,42,-7,42,11,-24,-7,-24,35,18,-31,18,35,0,35,0,12,41,-8,41,12,-23,-8,-23,34,19,-30,19,34,-1,34,-1
24,8,9,33,9,42,7,42,9,-24,7,-24,41,10,-25,10,41,8,41,8,10,42,6,42,10,-24,6,-24,41,11,-25,11,41,7,41,7,11,42,5,42,11,-24,5,-24,41,12,-25,12,41,6,41,6,12,42,4,42,12,-24,4,-24,41,13,-25,13,41,5,41,5,13,41,3,41,13,-23,3,-23,40,14,-24,14,40,4,40,4,14,41,2,41,14,-23,2,-23,40,15,-24,15,40,3,40,3,15,41,1,41,15,-23,1,-23,40,16,-24,16,40,2,40,2,16,41,0,41,16,-23,0,-23,40,17,-24,17,40,1,40,1,17,40,-1,40,17,-22,-1,-22,39,18,-23,18,39,0,39,0,18,40,-2,40,18,-22,-2,-22,39,19,-23,19,39,-1,39,-1
25,11,1,24,12,25,10,25,12,-23,10,-23,35,2,-13,2,35,0,35,0,13,25,9,25,13,-23,9,-23,35,3,-13,3,35,-1,35,-1,14,25,8,25,14,-23,8,-23,35,4,-13,4,35,-2,35,-2,15,25,7,25,15,-23,7,-23,35,5,-13,5,35,-3,35,-3,16,24,6,24,16,-22,6,-22,34,6,-12,6,34,-4,34,-4,17,24,5,24,17,-22,5,-22,34,7,-12,7,34,-5,34,-5,18,24,4,24,18,-22,4,-22,34,8,-12,8,34,-6,34,-6,19,23,3,23,19,-21,3,-21,33,9,-11,9,33,-7,33,-7,20,23,2,23,20,-21,2,-21,33,10,-11,10,33,-8,33,-8,21,22,1,22,21,-20,1,-20,32,11,-10,11,32,-9,32,-9
26,13,15,31,14,46,12,46,14,-16,12,-16,44,16,-18,16,44,14,44,14,15,46,11,46,15,-16,11,-16,44,17,-18,17,44,13,44,13,16,46,10,46,16,-16,10,-16,44,18,-18,18,44,12,44,12,17,46,9,46,17,-16,9,-16,44,19,-18,19,44,11,44,11,18,45,8,45,18,-15,8,-15,43,20,-17,20,43,10,43,10,19,45,7,45,19,-15,7,-15,43,21,-17,21,43,9,43,9,20,45,6,45,20,-15,6,-15,43,22,-17,22,43,8,43,8,21,45,5,45,21,-15,5,-15,43,23,-17,23,43,7,43,7,22,44,4,44,22,-14,4,-14,42,24,-16,24,42,6,42,6,23,44,3,44,23,-14,3,-14,42,25,-16,25,42,5,42,5
27,6,5,30,7,35,5,35,7,-25,5,-25,36,6,-24,6,36,4,36,4,8,35,4,35,8,-25,4,-25,36,7,-24,7,36,3,36,3,9,35,3,35,9,-25,3,-25,36,8,-24,8,36,2,36,2,10,35,2,35,10,-25,2,-25,36,9,-24,9,36,1,36,1,11,34,1,34,11,-24,1,-24,35,10,-23,10,35,0,35,0,12,34,0,34,12,-24,0,-24,35,11,-23,11,35,-1,35,-1,13,34,-1,34,13,-24,-1,-24,35,12,-23,12,35,-2,35,-2,14,34,-2,34,14,-24,-2,-24,35,13,-23,13,35,-3,35,-3,15,33,-3,33,15,-23,-3,-23,34,14,-22,14,34,-4,34,-4,16,33,-4,33,16,-23,-4,-23,34,15,-22,15,34,-5,34,-5
28,8,10,27,9,37,7,37,9,-17,7,-17,35,11,-19,11,35,9,35,9,10,37,6,37,10,-17,6,-17,35,12,-19,12,35,8,35,8,11,37,5,37,11,-17,5,-17,35,13,-19,13,35,7,35,7,12,37,4,37,12,-17,4,-17,35,14,-19,14,35,6,35,6,13,36,3,36,13,-16,3,-16,34,15,-18,15,34,5,34,5,14,36,2,36,14,-16,2,-16,34,16,-18,16,34,4,34,4,15,36,1,36,15,-16,1,-16,34,17,-18,17,34,3,34,3,16,35,0,35,16,-15,0,-15,33,18,-17,18,33,2,33,2,17,35,-1,35,17,-15,-1,-15,33,19,-17,19,33,1,33,1,18,35,-2,35,18,-15,-2,-15,33,20,-17,20,33,0,33,0
29,7,9,26,8,35,6,35,8,-17,6,-17,33,10,-19,10,33,8,33,8,9,35,5,35,9,-17,5,-17,33,11,-19,11,33,7,33,7,10,35,4,35,10,-17,4,-17,33,12,-19,12,33,6,33,6,11,35,3,35,11,-17,3,-17,33,13,-19,13,33,5,33,5,12,34,2,34,12,-16,2,-16,32,14,-18,14,32,4,32,4,13,34,1,34,13,-16,1,-16,32,15,-18,15,32,3,32,3,14,34,0,34,14,-16,0,-16,32,16,-18,16,32,2,32,2,15,33,-1,33,15,-15,-1,-15,31,17,-17,17,31,1,31,1,16,33,-2,33,16,-15,-2,-15,31,18,-17,18,31,0,31,0,17,33,-3,33,17,-15,-3,-15,31,19,-17,19,31,-1,31,-1
30,4,1,35,5,36,3,36,5,-34,3,-34,39,2,-31,2,39,0,39,0,6,36,2,36,6,-34,2,-34,39,3,-31,3,39,-1,39,-1,7,36,1,36,7,-34,1,-34,39,4,-31,4,39,-2,39,-2,8,36,0,36,8,-34,0,-34,39,5,-31,5,39,-3,39,-3,9,36,-1,36,9,-34,-1,-34,39,6,-31,6,39,-4,39,-4,10,35,-2,35,10,-33,-2,-33,38,7,-30,7,38,-5,38,-5,11,35,-3,35,11,-33,-3,-33,38,8,-30,8,38,-6,38,-6,12,35,-4,35,12,-33,-4,-33,38,9,-30,9,38,-7,38,-7,13,35,-5,35,13,-33,-5,-33,38,10,-30,10,38,-8,38,-8,14,34,-6,34,14,-32,-6,-32,37,11,-29,11,37,-9,37,-9
31,4,13,39,5,52,3,52,5,-26,3,-26,43,14,-35,14,43,12,43,12,6,52,2,52,6,-26,2,-26,43,15,-35,15,43,11,43,11,7,52,1,52,7,-26,1,-26,43,16,-35,16,43,10,43,10,8,52,0,52,8,-26,0,-26,43,17,-35,17,43,9,43,9,9,52,-1,52,9,-26,-1,-26,43,18,-35,18,43,8,43,8,10,51,-2,51,10,-25,-2,-25,42,19,-34,19,42,7,42,7,11,51,-3,51,11,-25,-3,-25,42,20,-34,20,42,6,42,6,12,51,-4,51,12,-25,-4,-25,42,21,-34,21,42,5,42,5,13,51,-5,51,13,-25,-5,-25,42,22,-34,22,42,4,42,4,14,50,-6,50,14,-24,-6,-24,41,23,-33,23,41,3,41,3
32,10,10,35,11,45,9,45,11,-25,9,-25,45,11,-25,11,45,9,45,9,12,45,8,45,12,-25,8,-25,45,12,-25,12,45,8,45,8,13,45,7,45,13,-25,7,-25,45,13,-25,13,45,7,45,7,14,45,6,45,14,-25,6,-25,45,14,-25,14,45,6,45,6,15,45,5,45,15,-25,5,-25,45,15,-25,15,45,5,45,5,16,44,4,44,16,-24,4,-24,44,16,-24,16,44,4,44,4,17,44,3,44,17,-24,3,-24,44,17,-24,17,44,3,44,3,18,44,2,44,18,-24,2,-24,44,18,-24,18,44,2,44,2,19,44,1,44,19,-24,1,-24,44,19,-24,19,44,1,44,1,20,43,0,43,20,-23,0,-23,43,20,-23,20,43,0,43,0
33,10,9,23,11,32,9,32,11,-14,9,-14,33,10,-13,10,33,8,33,8,12,32,8,32,12,-14,8,-14,33,11,-13,11,33,7,33,7,13,32,7,32,13,-14,7,-14,33,12,-13,12,33,6,33,6,14,32,6,32,14,-14,6,-14,33,13,-13,13,33,5,33,5,15,31,5,31,15,-13,5,-13,32,14,-12,14,32,4,32,4,16,31,4,31,16,-13,4,-13,32,15,-12,15,32,3,32,3,17,31,3,31,17,-13,3,-13,32,16,-12,16,32,2,32,2,18,30,2,30,18,-12,2,-12,31,17,-11,17,31,1,31,1,19,30,1,30,19,-12,1,-12,31,18,-11,18,31,0,31,0,20,29,0,29,20,-11,0,-11,30,19,-10,19,30,-1,30,-1
34,13,10,23,14,33,12,33,14,-13,12,-13,36,11,-10,11,36,9,36,9,15,33,11,33,15,-13,11,-13,36,12,-10,12,36,8,36,8,16,33,10,33,16,-13,10,-13,36,13,-10,13,36,7,36,7,17,33,9,33,17,-13,9,-13,36,14,-10,14,36,6,36,6,18,32,8,32,18,-12,8,-12,35,15,-9,15,35,5,35,5,19,32,7,32,19,-12,7,-12,35,16,-9,16,35,4,35,4,20,32,6,32,20,-12,6,-12,35,17,-9,17,35,3,35,3,21,31,5,31,21,-11,5,-11,34,18,-8,18,34,2,34,2,22,31,4,31,22,-11,4,-11,34,19,-8,19,34,1,34,1,23,30,3,30,23,-10,3,-10,33,20,-7,20,33,0,33,0
